,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
LINC00518,ENSG00000183674,Gene Expression,GRCh38,23.0,LINC00518,23
AL356134.1,ENSG00000233262,Gene Expression,GRCh38,5.0,AL356134.1,5
N4BP2,ENSG00000078177,Gene Expression,GRCh38,707.0,N4BP2,676
KIAA2013,ENSG00000116685,Gene Expression,GRCh38,1683.0,KIAA2013,1616
IL1R1,ENSG00000115594,Gene Expression,GRCh38,7398.0,IL1R1,6779
OCLN,ENSG00000197822,Gene Expression,GRCh38,317.0,OCLN,309
DLGAP1-AS2,ENSG00000262001,Gene Expression,GRCh38,47.0,DLGAP1-AS2,46
TERF2IP,ENSG00000166848,Gene Expression,GRCh38,1852.0,TERF2IP,1772
GOT1L1,ENSG00000169154,Gene Expression,GRCh38,1.0,GOT1L1,1
CKLF-CMTM1,ENSG00000254788,Gene Expression,GRCh38,3.0,CKLF-CMTM1,3
TRIP12,ENSG00000153827,Gene Expression,GRCh38,2433.0,TRIP12,2329
AL354719.2,ENSG00000236345,Gene Expression,GRCh38,1.0,AL354719.2,1
LINC02444,ENSG00000258123,Gene Expression,GRCh38,1.0,LINC02444,1
PNPLA7,ENSG00000130653,Gene Expression,GRCh38,10.0,PNPLA7,10
OR8B3,ENSG00000284609,Gene Expression,GRCh38,0.0,OR8B3,0
AC114776.1,ENSG00000235881,Gene Expression,GRCh38,7.0,AC114776.1,7
HIST1H1D,ENSG00000124575,Gene Expression,GRCh38,94.0,HIST1H1D,93
ZNF506,ENSG00000081665,Gene Expression,GRCh38,390.0,ZNF506,381
KLC4,ENSG00000137171,Gene Expression,GRCh38,201.0,KLC4,198
RAD51B,ENSG00000182185,Gene Expression,GRCh38,116.0,RAD51B,113
GPRC5B,ENSG00000167191,Gene Expression,GRCh38,32.0,GPRC5B,32
CLTCL1,ENSG00000070371,Gene Expression,GRCh38,39.0,CLTCL1,39
TAL1,ENSG00000162367,Gene Expression,GRCh38,6.0,TAL1,6
FNDC7,ENSG00000143107,Gene Expression,GRCh38,1.0,FNDC7,1
STK4,ENSG00000101109,Gene Expression,GRCh38,1391.0,STK4,1320
HLA-A,ENSG00000206503,Gene Expression,GRCh38,196.0,HLA-A,191
ADRM1,ENSG00000130706,Gene Expression,GRCh38,4789.0,ADRM1,4480
PCNX2,ENSG00000135749,Gene Expression,GRCh38,88.0,PCNX2,86
AL358216.1,ENSG00000225140,Gene Expression,GRCh38,5.0,AL358216.1,5
HOTAIRM1,ENSG00000233429,Gene Expression,GRCh38,122.0,HOTAIRM1,112
PDIA4,ENSG00000155660,Gene Expression,GRCh38,11899.0,PDIA4,10516
DNASE2,ENSG00000105612,Gene Expression,GRCh38,2820.0,DNASE2,2659
SLFN12,ENSG00000172123,Gene Expression,GRCh38,139.0,SLFN12,137
AC022710.1,ENSG00000259356,Gene Expression,GRCh38,2.0,AC022710.1,2
ZNF837,ENSG00000152475,Gene Expression,GRCh38,70.0,ZNF837,68
TRIM39,ENSG00000204599,Gene Expression,GRCh38,220.0,TRIM39,217
AC124069.1,ENSG00000253168,Gene Expression,GRCh38,11.0,AC124069.1,11
BACH2,ENSG00000112182,Gene Expression,GRCh38,31.0,BACH2,31
LINC02522,ENSG00000231056,Gene Expression,GRCh38,8.0,LINC02522,8
TARID,ENSG00000227954,Gene Expression,GRCh38,1.0,TARID,1
STK31,ENSG00000196335,Gene Expression,GRCh38,31.0,STK31,30
SLC4A3,ENSG00000114923,Gene Expression,GRCh38,179.0,SLC4A3,175
ACBD4,ENSG00000181513,Gene Expression,GRCh38,166.0,ACBD4,160
VAPB,ENSG00000124164,Gene Expression,GRCh38,1440.0,VAPB,1385
AC005841.1,ENSG00000258092,Gene Expression,GRCh38,1.0,AC005841.1,1
ZNF335,ENSG00000198026,Gene Expression,GRCh38,603.0,ZNF335,581
COQ10B,ENSG00000115520,Gene Expression,GRCh38,2429.0,COQ10B,2368
ZRANB2,ENSG00000132485,Gene Expression,GRCh38,3818.0,ZRANB2,3516
AC005954.2,ENSG00000267205,Gene Expression,GRCh38,4.0,AC005954.2,4
LLGL1,ENSG00000131899,Gene Expression,GRCh38,240.0,LLGL1,240
AC093827.4,ENSG00000284968,Gene Expression,GRCh38,1419.0,AC093827.4,1325
AC013394.1,ENSG00000279765,Gene Expression,GRCh38,117.0,AC013394.1,117
AC025219.1,ENSG00000259445,Gene Expression,GRCh38,0.0,AC025219.1,0
AC020656.1,ENSG00000257764,Gene Expression,GRCh38,70.0,AC020656.1,70
XPO1,ENSG00000082898,Gene Expression,GRCh38,2991.0,XPO1,2859
EID3,ENSG00000255150,Gene Expression,GRCh38,84.0,EID3,83
THAP8,ENSG00000161277,Gene Expression,GRCh38,81.0,THAP8,80
CYP8B1,ENSG00000180432,Gene Expression,GRCh38,5.0,CYP8B1,5
ACYP2,ENSG00000170634,Gene Expression,GRCh38,399.0,ACYP2,384
PGM2,ENSG00000169299,Gene Expression,GRCh38,2465.0,PGM2,2381
HMGA1,ENSG00000137309,Gene Expression,GRCh38,2293.0,HMGA1,2197
AC092118.2,ENSG00000276166,Gene Expression,GRCh38,4.0,AC092118.2,4
TFRC,ENSG00000072274,Gene Expression,GRCh38,2959.0,TFRC,2809
AC013640.1,ENSG00000261191,Gene Expression,GRCh38,3.0,AC013640.1,3
LINC00377,ENSG00000229246,Gene Expression,GRCh38,1.0,LINC00377,1
RAD21,ENSG00000164754,Gene Expression,GRCh38,4335.0,RAD21,4062
VIL1,ENSG00000127831,Gene Expression,GRCh38,17.0,VIL1,17
ZNF500,ENSG00000103199,Gene Expression,GRCh38,168.0,ZNF500,164
SLC43A3,ENSG00000134802,Gene Expression,GRCh38,192.0,SLC43A3,191
VPS9D1,ENSG00000075399,Gene Expression,GRCh38,266.0,VPS9D1,261
SF3B5,ENSG00000169976,Gene Expression,GRCh38,4417.0,SF3B5,4107
CHCHD4,ENSG00000163528,Gene Expression,GRCh38,273.0,CHCHD4,265
AC104534.1,ENSG00000268756,Gene Expression,GRCh38,127.0,AC104534.1,125
AL391704.2,ENSG00000236373,Gene Expression,GRCh38,1.0,AL391704.2,1
RAMP2-AS1,ENSG00000197291,Gene Expression,GRCh38,10.0,RAMP2-AS1,10
AL035427.1,ENSG00000270050,Gene Expression,GRCh38,6.0,AL035427.1,6
CHMP2B,ENSG00000083937,Gene Expression,GRCh38,5058.0,CHMP2B,4675
PHF12,ENSG00000109118,Gene Expression,GRCh38,927.0,PHF12,892
AMIGO2,ENSG00000139211,Gene Expression,GRCh38,316.0,AMIGO2,306
RMI1,ENSG00000178966,Gene Expression,GRCh38,504.0,RMI1,492
TRIM64,ENSG00000204450,Gene Expression,GRCh38,1.0,TRIM64,1
TRIP11,ENSG00000100815,Gene Expression,GRCh38,2459.0,TRIP11,2309
FBXO41,ENSG00000163013,Gene Expression,GRCh38,18.0,FBXO41,18
LINC00160,ENSG00000230978,Gene Expression,GRCh38,1.0,LINC00160,1
THEMIS2,ENSG00000130775,Gene Expression,GRCh38,24.0,THEMIS2,24
KLB,ENSG00000134962,Gene Expression,GRCh38,76.0,KLB,76
KIF21A,ENSG00000139116,Gene Expression,GRCh38,2980.0,KIF21A,2795
UBE2M,ENSG00000130725,Gene Expression,GRCh38,3721.0,UBE2M,3534
TTLL2,ENSG00000120440,Gene Expression,GRCh38,1.0,TTLL2,1
AF121898.1,ENSG00000253500,Gene Expression,GRCh38,5.0,AF121898.1,5
SLC20A1,ENSG00000144136,Gene Expression,GRCh38,2680.0,SLC20A1,2581
AC087164.1,ENSG00000266677,Gene Expression,GRCh38,12.0,AC087164.1,12
CBS,ENSG00000160200,Gene Expression,GRCh38,3.0,CBS,3
AC017002.3,ENSG00000240350,Gene Expression,GRCh38,2.0,AC017002.3,2
AL355353.1,ENSG00000270761,Gene Expression,GRCh38,20.0,AL355353.1,20
MFSD5,ENSG00000182544,Gene Expression,GRCh38,526.0,MFSD5,515
VAMP5,ENSG00000168899,Gene Expression,GRCh38,491.0,VAMP5,473
POU5F2,ENSG00000248483,Gene Expression,GRCh38,30.0,POU5F2,29
VCX3B,ENSG00000205642,Gene Expression,GRCh38,0.0,VCX3B,0
MT1A,ENSG00000205362,Gene Expression,GRCh38,45.0,MT1A,43
TRIM73,ENSG00000178809,Gene Expression,GRCh38,61.0,TRIM73,60
CLCN1,ENSG00000188037,Gene Expression,GRCh38,2.0,CLCN1,2
PPT2-EGFL8,ENSG00000258388,Gene Expression,GRCh38,24.0,PPT2-EGFL8,24
ANKRD34A,ENSG00000272031,Gene Expression,GRCh38,1.0,ANKRD34A,1
AC010834.1,ENSG00000253722,Gene Expression,GRCh38,1.0,AC010834.1,1
PSMB7,ENSG00000136930,Gene Expression,GRCh38,6440.0,PSMB7,5941
CD6,ENSG00000013725,Gene Expression,GRCh38,10.0,CD6,9
PROM2,ENSG00000155066,Gene Expression,GRCh38,501.0,PROM2,486
FAM118B,ENSG00000197798,Gene Expression,GRCh38,253.0,FAM118B,248
TXNDC12,ENSG00000117862,Gene Expression,GRCh38,2204.0,TXNDC12,2102
CYLD,ENSG00000083799,Gene Expression,GRCh38,296.0,CYLD,287
FNDC9,ENSG00000172568,Gene Expression,GRCh38,2.0,FNDC9,2
LINC01354,ENSG00000231768,Gene Expression,GRCh38,11.0,LINC01354,11
AC011405.1,ENSG00000249593,Gene Expression,GRCh38,8.0,AC011405.1,7
RALGPS1,ENSG00000136828,Gene Expression,GRCh38,81.0,RALGPS1,80
KRTAP5-AS1,ENSG00000233930,Gene Expression,GRCh38,4.0,KRTAP5-AS1,4
REEP1,ENSG00000068615,Gene Expression,GRCh38,387.0,REEP1,370
IRX4,ENSG00000113430,Gene Expression,GRCh38,27.0,IRX4,25
CMSS1,ENSG00000184220,Gene Expression,GRCh38,1692.0,CMSS1,1533
AC093117.1,ENSG00000223675,Gene Expression,GRCh38,2.0,AC093117.1,2
USP46-AS1,ENSG00000248866,Gene Expression,GRCh38,71.0,USP46-AS1,67
NUDT2,ENSG00000164978,Gene Expression,GRCh38,697.0,NUDT2,682
MIB1,ENSG00000101752,Gene Expression,GRCh38,1741.0,MIB1,1671
ATP1A2,ENSG00000018625,Gene Expression,GRCh38,3.0,ATP1A2,3
FANCL,ENSG00000115392,Gene Expression,GRCh38,190.0,FANCL,184
C17orf98,ENSG00000275489,Gene Expression,GRCh38,8.0,C17orf98,8
MCOLN1,ENSG00000090674,Gene Expression,GRCh38,522.0,MCOLN1,513
AC112503.1,ENSG00000272678,Gene Expression,GRCh38,1.0,AC112503.1,1
FAM89B,ENSG00000176973,Gene Expression,GRCh38,409.0,FAM89B,404
AL441992.1,ENSG00000223478,Gene Expression,GRCh38,688.0,AL441992.1,602
LINC01343,ENSG00000237290,Gene Expression,GRCh38,1.0,LINC01343,1
INTS5,ENSG00000185085,Gene Expression,GRCh38,339.0,INTS5,330
USP15,ENSG00000135655,Gene Expression,GRCh38,1997.0,USP15,1902
AC026992.1,ENSG00000259504,Gene Expression,GRCh38,1.0,AC026992.1,1
IER5,ENSG00000162783,Gene Expression,GRCh38,6445.0,IER5,6047
PURPL,ENSG00000250337,Gene Expression,GRCh38,106.0,PURPL,105
LNP1,ENSG00000206535,Gene Expression,GRCh38,29.0,LNP1,28
SETD1B,ENSG00000139718,Gene Expression,GRCh38,627.0,SETD1B,610
CR392000.2,ENSG00000283769,Gene Expression,GRCh38,1.0,CR392000.2,1
TM4SF4,ENSG00000169903,Gene Expression,GRCh38,8.0,TM4SF4,8
LINC02209,ENSG00000253279,Gene Expression,GRCh38,1.0,LINC02209,1
FAM169A,ENSG00000198780,Gene Expression,GRCh38,45.0,FAM169A,43
LINC00927,ENSG00000259361,Gene Expression,GRCh38,3.0,LINC00927,3
DHRS7B,ENSG00000109016,Gene Expression,GRCh38,475.0,DHRS7B,470
NRIR,ENSG00000225964,Gene Expression,GRCh38,1.0,NRIR,1
AL513327.1,ENSG00000225313,Gene Expression,GRCh38,0.0,AL513327.1,0
NRSN1,ENSG00000152954,Gene Expression,GRCh38,1.0,NRSN1,1
APPBP2,ENSG00000062725,Gene Expression,GRCh38,1483.0,APPBP2,1437
SHOC2,ENSG00000108061,Gene Expression,GRCh38,2087.0,SHOC2,2013
HMCN2,ENSG00000148357,Gene Expression,GRCh38,10.0,HMCN2,10
CCDC155,ENSG00000161609,Gene Expression,GRCh38,6.0,CCDC155,6
TBX15,ENSG00000092607,Gene Expression,GRCh38,3.0,TBX15,3
EML6,ENSG00000214595,Gene Expression,GRCh38,34.0,EML6,34
THBS3,ENSG00000169231,Gene Expression,GRCh38,132.0,THBS3,132
ZAR1L,ENSG00000189167,Gene Expression,GRCh38,0.0,ZAR1L,0
AL161781.2,ENSG00000250850,Gene Expression,GRCh38,1.0,AL161781.2,1
FABP7,ENSG00000164434,Gene Expression,GRCh38,86.0,FABP7,86
KLHL26,ENSG00000167487,Gene Expression,GRCh38,47.0,KLHL26,46
AC009108.3,ENSG00000270020,Gene Expression,GRCh38,1.0,AC009108.3,1
RTN2,ENSG00000125744,Gene Expression,GRCh38,1467.0,RTN2,1422
AC009118.2,ENSG00000276131,Gene Expression,GRCh38,3.0,AC009118.2,3
PAX8,ENSG00000125618,Gene Expression,GRCh38,52.0,PAX8,51
PTOV1-AS1,ENSG00000268006,Gene Expression,GRCh38,33.0,PTOV1-AS1,32
GLIS2,ENSG00000126603,Gene Expression,GRCh38,648.0,GLIS2,622
CUEDC2,ENSG00000107874,Gene Expression,GRCh38,494.0,CUEDC2,484
NOP56,ENSG00000101361,Gene Expression,GRCh38,2381.0,NOP56,2215
SCX,ENSG00000260428,Gene Expression,GRCh38,228.0,SCX,226
ATG16L2,ENSG00000168010,Gene Expression,GRCh38,416.0,ATG16L2,401
SIVA1,ENSG00000184990,Gene Expression,GRCh38,2214.0,SIVA1,2119
CD2BP2,ENSG00000169217,Gene Expression,GRCh38,1550.0,CD2BP2,1503
MPST,ENSG00000128309,Gene Expression,GRCh38,1973.0,MPST,1905
GTF2H3,ENSG00000111358,Gene Expression,GRCh38,915.0,GTF2H3,888
IST1,ENSG00000182149,Gene Expression,GRCh38,3782.0,IST1,3601
AC073655.2,ENSG00000258365,Gene Expression,GRCh38,3.0,AC073655.2,3
SMARCAL1,ENSG00000138375,Gene Expression,GRCh38,552.0,SMARCAL1,523
PRKAA2,ENSG00000162409,Gene Expression,GRCh38,151.0,PRKAA2,145
AL022322.1,ENSG00000272720,Gene Expression,GRCh38,7.0,AL022322.1,6
BTN3A2,ENSG00000186470,Gene Expression,GRCh38,260.0,BTN3A2,251
NDUFA12,ENSG00000184752,Gene Expression,GRCh38,4526.0,NDUFA12,4248
B2M,ENSG00000166710,Gene Expression,GRCh38,240553.0,B2M,60356
AC020934.1,ENSG00000267424,Gene Expression,GRCh38,4.0,AC020934.1,4
AP003716.1,ENSG00000251637,Gene Expression,GRCh38,13.0,AP003716.1,13
CPN2,ENSG00000178772,Gene Expression,GRCh38,3.0,CPN2,3
XRN2,ENSG00000088930,Gene Expression,GRCh38,3139.0,XRN2,2884
CCM2,ENSG00000136280,Gene Expression,GRCh38,841.0,CCM2,826
ZBTB42,ENSG00000179627,Gene Expression,GRCh38,127.0,ZBTB42,124
ORC6,ENSG00000091651,Gene Expression,GRCh38,129.0,ORC6,125
AP001626.1,ENSG00000235023,Gene Expression,GRCh38,5.0,AP001626.1,5
ST13,ENSG00000100380,Gene Expression,GRCh38,12240.0,ST13,10721
AC090589.2,ENSG00000255520,Gene Expression,GRCh38,2.0,AC090589.2,2
SEPT11,ENSG00000138758,Gene Expression,GRCh38,8849.0,SEPT11,7941
PTMA,ENSG00000187514,Gene Expression,GRCh38,46759.0,PTMA,30971
NUP58,ENSG00000139496,Gene Expression,GRCh38,3530.0,NUP58,3341
MRPL32,ENSG00000106591,Gene Expression,GRCh38,1323.0,MRPL32,1270
MOGS,ENSG00000115275,Gene Expression,GRCh38,3055.0,MOGS,2878
FRG2,ENSG00000205097,Gene Expression,GRCh38,1.0,FRG2,1
PIF1,ENSG00000140451,Gene Expression,GRCh38,31.0,PIF1,31
UCKL1,ENSG00000198276,Gene Expression,GRCh38,1176.0,UCKL1,1133
NOS1,ENSG00000089250,Gene Expression,GRCh38,14.0,NOS1,13
AC025419.1,ENSG00000250748,Gene Expression,GRCh38,1.0,AC025419.1,1
AC083809.1,ENSG00000277247,Gene Expression,GRCh38,1.0,AC083809.1,1
RPP25L,ENSG00000164967,Gene Expression,GRCh38,680.0,RPP25L,648
TMEM44,ENSG00000145014,Gene Expression,GRCh38,224.0,TMEM44,221
B3GNT4,ENSG00000176383,Gene Expression,GRCh38,19.0,B3GNT4,19
GTF2E1,ENSG00000153767,Gene Expression,GRCh38,320.0,GTF2E1,316
MADD,ENSG00000110514,Gene Expression,GRCh38,265.0,MADD,258
DFFB,ENSG00000169598,Gene Expression,GRCh38,343.0,DFFB,331
GMNC,ENSG00000205835,Gene Expression,GRCh38,1.0,GMNC,1
NEK10,ENSG00000163491,Gene Expression,GRCh38,18.0,NEK10,18
CFH,ENSG00000000971,Gene Expression,GRCh38,4.0,CFH,4
ZFHX4,ENSG00000091656,Gene Expression,GRCh38,32.0,ZFHX4,31
AL049875.1,ENSG00000258526,Gene Expression,GRCh38,2.0,AL049875.1,2
ORM1,ENSG00000229314,Gene Expression,GRCh38,9.0,ORM1,9
AC023946.1,ENSG00000255351,Gene Expression,GRCh38,9.0,AC023946.1,9
FAM171B,ENSG00000144369,Gene Expression,GRCh38,496.0,FAM171B,485
FLG-AS1,ENSG00000237975,Gene Expression,GRCh38,3.0,FLG-AS1,3
AC006058.1,ENSG00000261786,Gene Expression,GRCh38,2.0,AC006058.1,2
ATAD2B,ENSG00000119778,Gene Expression,GRCh38,599.0,ATAD2B,579
AC127002.1,ENSG00000275265,Gene Expression,GRCh38,2.0,AC127002.1,2
NUDT3,ENSG00000272325,Gene Expression,GRCh38,665.0,NUDT3,647
AC040162.1,ENSG00000261884,Gene Expression,GRCh38,46.0,AC040162.1,46
ALCAM,ENSG00000170017,Gene Expression,GRCh38,6.0,ALCAM,6
BVES,ENSG00000112276,Gene Expression,GRCh38,38.0,BVES,38
ZNF317,ENSG00000130803,Gene Expression,GRCh38,410.0,ZNF317,391
IKZF3,ENSG00000161405,Gene Expression,GRCh38,46.0,IKZF3,45
FASTKD2,ENSG00000118246,Gene Expression,GRCh38,406.0,FASTKD2,399
TPM1-AS,ENSG00000259498,Gene Expression,GRCh38,33.0,TPM1-AS,32
AC068620.2,ENSG00000270147,Gene Expression,GRCh38,0.0,AC068620.2,0
NEURL1B,ENSG00000214357,Gene Expression,GRCh38,15.0,NEURL1B,15
BAZ2B,ENSG00000123636,Gene Expression,GRCh38,2712.0,BAZ2B,2542
SMIM28,ENSG00000262543,Gene Expression,GRCh38,1.0,SMIM28,1
ZNF106,ENSG00000103994,Gene Expression,GRCh38,1897.0,ZNF106,1758
AC025271.2,ENSG00000261265,Gene Expression,GRCh38,1.0,AC025271.2,1
UBR7,ENSG00000012963,Gene Expression,GRCh38,287.0,UBR7,282
ANO8,ENSG00000074855,Gene Expression,GRCh38,641.0,ANO8,588
GGCX,ENSG00000115486,Gene Expression,GRCh38,2875.0,GGCX,2746
TXN,ENSG00000136810,Gene Expression,GRCh38,28001.0,TXN,21464
AL138694.1,ENSG00000283384,Gene Expression,GRCh38,2.0,AL138694.1,2
ANKRD13C,ENSG00000118454,Gene Expression,GRCh38,609.0,ANKRD13C,594
AL031846.2,ENSG00000279833,Gene Expression,GRCh38,9.0,AL031846.2,9
NUCB2,ENSG00000070081,Gene Expression,GRCh38,15266.0,NUCB2,12797
AC098614.4,ENSG00000271943,Gene Expression,GRCh38,1.0,AC098614.4,1
AC083806.2,ENSG00000274554,Gene Expression,GRCh38,1.0,AC083806.2,1
MLKL,ENSG00000168404,Gene Expression,GRCh38,107.0,MLKL,104
AL109615.3,ENSG00000237686,Gene Expression,GRCh38,4.0,AL109615.3,3
AC124276.1,ENSG00000254991,Gene Expression,GRCh38,1.0,AC124276.1,1
AC132872.1,ENSG00000260563,Gene Expression,GRCh38,33.0,AC132872.1,33
PKP1,ENSG00000081277,Gene Expression,GRCh38,9.0,PKP1,8
AL109924.1,ENSG00000225879,Gene Expression,GRCh38,40.0,AL109924.1,39
WNT6,ENSG00000115596,Gene Expression,GRCh38,154.0,WNT6,153
AC002074.1,ENSG00000285090,Gene Expression,GRCh38,16.0,AC002074.1,15
ZNF750,ENSG00000141579,Gene Expression,GRCh38,422.0,ZNF750,412
KDM3B,ENSG00000120733,Gene Expression,GRCh38,964.0,KDM3B,941
IRF5,ENSG00000128604,Gene Expression,GRCh38,17.0,IRF5,12
AP000781.1,ENSG00000254662,Gene Expression,GRCh38,6.0,AP000781.1,6
GOLGA6L10,ENSG00000278662,Gene Expression,GRCh38,29.0,GOLGA6L10,29
SRD5A1,ENSG00000145545,Gene Expression,GRCh38,102.0,SRD5A1,102
DPAGT1,ENSG00000172269,Gene Expression,GRCh38,688.0,DPAGT1,670
SHD,ENSG00000105251,Gene Expression,GRCh38,8.0,SHD,7
CASQ1,ENSG00000143318,Gene Expression,GRCh38,303.0,CASQ1,297
LINC02420,ENSG00000256172,Gene Expression,GRCh38,1.0,LINC02420,1
TAAR8,ENSG00000146385,Gene Expression,GRCh38,1.0,TAAR8,1
AL354993.1,ENSG00000231703,Gene Expression,GRCh38,2.0,AL354993.1,2
LINC02327,ENSG00000258038,Gene Expression,GRCh38,151.0,LINC02327,148
ZC3H15,ENSG00000065548,Gene Expression,GRCh38,7598.0,ZC3H15,6657
PLIN3,ENSG00000105355,Gene Expression,GRCh38,5880.0,PLIN3,5473
TAPBP,ENSG00000231925,Gene Expression,GRCh38,6082.0,TAPBP,5588
EHF,ENSG00000135373,Gene Expression,GRCh38,60.0,EHF,59
SLC35B2,ENSG00000157593,Gene Expression,GRCh38,1339.0,SLC35B2,1301
SCAMP2,ENSG00000140497,Gene Expression,GRCh38,2322.0,SCAMP2,2241
DMAC2,ENSG00000105341,Gene Expression,GRCh38,700.0,DMAC2,687
WRB,ENSG00000182093,Gene Expression,GRCh38,699.0,WRB,686
OAS3,ENSG00000111331,Gene Expression,GRCh38,943.0,OAS3,921
ARPC5,ENSG00000162704,Gene Expression,GRCh38,14141.0,ARPC5,12082
QARS,ENSG00000172053,Gene Expression,GRCh38,2380.0,QARS,2296
AC110285.6,ENSG00000275966,Gene Expression,GRCh38,12.0,AC110285.6,12
SRGAP2,ENSG00000266028,Gene Expression,GRCh38,2476.0,SRGAP2,2344
TMC2,ENSG00000149488,Gene Expression,GRCh38,1.0,TMC2,1
AC005726.1,ENSG00000258472,Gene Expression,GRCh38,46.0,AC005726.1,44
NCK1-DT,ENSG00000239213,Gene Expression,GRCh38,222.0,NCK1-DT,212
C1orf198,ENSG00000119280,Gene Expression,GRCh38,695.0,C1orf198,685
NCBP1,ENSG00000136937,Gene Expression,GRCh38,568.0,NCBP1,556
PPP3CC,ENSG00000120910,Gene Expression,GRCh38,482.0,PPP3CC,466
AC023794.2,ENSG00000248576,Gene Expression,GRCh38,1.0,AC023794.2,1
ST7L,ENSG00000007341,Gene Expression,GRCh38,179.0,ST7L,175
TRIM40,ENSG00000204614,Gene Expression,GRCh38,272.0,TRIM40,263
CALCRL,ENSG00000064989,Gene Expression,GRCh38,7.0,CALCRL,7
UBE2A,ENSG00000077721,Gene Expression,GRCh38,6586.0,UBE2A,6116
AC098679.1,ENSG00000250604,Gene Expression,GRCh38,2.0,AC098679.1,2
AC092198.1,ENSG00000223486,Gene Expression,GRCh38,3.0,AC092198.1,3
ANKRD45,ENSG00000183831,Gene Expression,GRCh38,5.0,ANKRD45,5
RAB37,ENSG00000172794,Gene Expression,GRCh38,1.0,RAB37,1
ANP32A,ENSG00000140350,Gene Expression,GRCh38,3024.0,ANP32A,2887
ADAD1,ENSG00000164113,Gene Expression,GRCh38,1.0,ADAD1,1
AC006581.2,ENSG00000282022,Gene Expression,GRCh38,7.0,AC006581.2,7
GPR132,ENSG00000183484,Gene Expression,GRCh38,192.0,GPR132,188
PACRGL,ENSG00000163138,Gene Expression,GRCh38,174.0,PACRGL,168
ZCCHC9,ENSG00000131732,Gene Expression,GRCh38,1223.0,ZCCHC9,1135
AP003774.2,ENSG00000231492,Gene Expression,GRCh38,0.0,AP003774.2,0
SLC22A12,ENSG00000197891,Gene Expression,GRCh38,2.0,SLC22A12,2
MRPL12,ENSG00000262814,Gene Expression,GRCh38,1708.0,MRPL12,1650
TECR,ENSG00000099797,Gene Expression,GRCh38,9724.0,TECR,8739
BLVRB,ENSG00000090013,Gene Expression,GRCh38,4082.0,BLVRB,3827
OR6C75,ENSG00000187857,Gene Expression,GRCh38,0.0,OR6C75,0
AL157756.1,ENSG00000254718,Gene Expression,GRCh38,5.0,AL157756.1,5
RPLP1,ENSG00000137818,Gene Expression,GRCh38,221083.0,RPLP1,59269
AC026691.1,ENSG00000270021,Gene Expression,GRCh38,3.0,AC026691.1,3
NAA16,ENSG00000172766,Gene Expression,GRCh38,224.0,NAA16,217
ZNF280C,ENSG00000056277,Gene Expression,GRCh38,199.0,ZNF280C,193
ZIC2,ENSG00000043355,Gene Expression,GRCh38,2.0,ZIC2,2
BEST3,ENSG00000127325,Gene Expression,GRCh38,92.0,BEST3,87
SLC25A6,ENSG00000169100,Gene Expression,GRCh38,9310.0,SLC25A6,8300
ILDR1,ENSG00000145103,Gene Expression,GRCh38,15.0,ILDR1,15
ELOVL4,ENSG00000118402,Gene Expression,GRCh38,518.0,ELOVL4,508
RNF103-CHMP3,ENSG00000249884,Gene Expression,GRCh38,11.0,RNF103-CHMP3,11
AC016831.7,ENSG00000285106,Gene Expression,GRCh38,79.0,AC016831.7,77
MICALL1,ENSG00000100139,Gene Expression,GRCh38,2529.0,MICALL1,2405
AC015574.1,ENSG00000275016,Gene Expression,GRCh38,11.0,AC015574.1,11
CBLL1,ENSG00000105879,Gene Expression,GRCh38,581.0,CBLL1,573
MAN2B2,ENSG00000013288,Gene Expression,GRCh38,1499.0,MAN2B2,1405
CDC16,ENSG00000130177,Gene Expression,GRCh38,1569.0,CDC16,1501
ZNF322,ENSG00000181315,Gene Expression,GRCh38,285.0,ZNF322,279
SPEN,ENSG00000065526,Gene Expression,GRCh38,1695.0,SPEN,1602
IK,ENSG00000113141,Gene Expression,GRCh38,4512.0,IK,4085
CRY1,ENSG00000008405,Gene Expression,GRCh38,529.0,CRY1,514
KTN1,ENSG00000126777,Gene Expression,GRCh38,5746.0,KTN1,5114
SHQ1,ENSG00000144736,Gene Expression,GRCh38,305.0,SHQ1,293
AC017048.3,ENSG00000272551,Gene Expression,GRCh38,1.0,AC017048.3,1
YY2,ENSG00000230797,Gene Expression,GRCh38,79.0,YY2,77
PRDM11,ENSG00000019485,Gene Expression,GRCh38,37.0,PRDM11,37
PTCHD1,ENSG00000165186,Gene Expression,GRCh38,5.0,PTCHD1,5
HERC3,ENSG00000138641,Gene Expression,GRCh38,1513.0,HERC3,1467
ETNK1,ENSG00000139163,Gene Expression,GRCh38,917.0,ETNK1,896
AC018682.2,ENSG00000253515,Gene Expression,GRCh38,9.0,AC018682.2,9
AC068870.2,ENSG00000277782,Gene Expression,GRCh38,7.0,AC068870.2,7
WDR44,ENSG00000131725,Gene Expression,GRCh38,339.0,WDR44,336
IFNAR2,ENSG00000159110,Gene Expression,GRCh38,1234.0,IFNAR2,1204
TBC1D2,ENSG00000095383,Gene Expression,GRCh38,509.0,TBC1D2,493
UBASH3A,ENSG00000160185,Gene Expression,GRCh38,1.0,UBASH3A,1
ARNTL2-AS1,ENSG00000245311,Gene Expression,GRCh38,0.0,ARNTL2-AS1,0
LARP1B,ENSG00000138709,Gene Expression,GRCh38,2018.0,LARP1B,1886
