,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
APMAP,ENSG00000101474,Gene Expression,GRCh38,765,1064.0,APMAP,765
BMP2K,ENSG00000138756,Gene Expression,GRCh38,1471,1973.0,BMP2K,1471
NDRG4,ENSG00000103034,Gene Expression,GRCh38,11,12.0,NDRG4,11
IFT172,ENSG00000138002,Gene Expression,GRCh38,23,23.0,IFT172,23
NPHP4,ENSG00000131697,Gene Expression,GRCh38,56,58.0,NPHP4,56
NOP2,ENSG00000111641,Gene Expression,GRCh38,79,79.0,NOP2,79
PITX3,ENSG00000107859,Gene Expression,GRCh38,5,5.0,PITX3,5
ALDH1A1,ENSG00000165092,Gene Expression,GRCh38,3,3.0,ALDH1A1,3
AC128688.2,ENSG00000261488,Gene Expression,GRCh38,40,41.0,AC128688.2,40
GCSH,ENSG00000140905,Gene Expression,GRCh38,5088,17578.0,GCSH,5088
FBXO17,ENSG00000269190,Gene Expression,GRCh38,115,119.0,FBXO17,115
NAPEPLD,ENSG00000161048,Gene Expression,GRCh38,153,161.0,NAPEPLD,153
MAGEE1,ENSG00000198934,Gene Expression,GRCh38,5,5.0,MAGEE1,5
FBXO4,ENSG00000151876,Gene Expression,GRCh38,391,419.0,FBXO4,391
RNF146,ENSG00000118518,Gene Expression,GRCh38,991,1125.0,RNF146,991
TYSND1,ENSG00000156521,Gene Expression,GRCh38,332,371.0,TYSND1,332
HIST1H2BI,ENSG00000278588,Gene Expression,GRCh38,17,18.0,HIST1H2BI,17
AL031587.3,ENSG00000272582,Gene Expression,GRCh38,44,44.0,AL031587.3,44
LRCH3,ENSG00000186001,Gene Expression,GRCh38,683,777.0,LRCH3,683
TNKS2,ENSG00000107854,Gene Expression,GRCh38,3645,6883.0,TNKS2,3645
NR2C2,ENSG00000177463,Gene Expression,GRCh38,620,671.0,NR2C2,620
AL022476.1,ENSG00000230319,Gene Expression,GRCh38,28,38.0,AL022476.1,28
TMPO-AS1,ENSG00000257167,Gene Expression,GRCh38,19,22.0,TMPO-AS1,19
AC008915.2,ENSG00000260136,Gene Expression,GRCh38,294,318.0,AC008915.2,294
FAM241B,ENSG00000171224,Gene Expression,GRCh38,305,337.0,FAM241B,305
CCDC107,ENSG00000159884,Gene Expression,GRCh38,1735,2665.0,CCDC107,1735
ABTB2,ENSG00000166016,Gene Expression,GRCh38,163,179.0,ABTB2,163
LRP10,ENSG00000197324,Gene Expression,GRCh38,3318,6968.0,LRP10,3318
TREM1,ENSG00000124731,Gene Expression,GRCh38,24,40.0,TREM1,24
NEMF,ENSG00000165525,Gene Expression,GRCh38,1156,1378.0,NEMF,1156
SNX3,ENSG00000112335,Gene Expression,GRCh38,4469,11689.0,SNX3,4469
CRISPLD1,ENSG00000121005,Gene Expression,GRCh38,146,194.0,CRISPLD1,146
ANKEF1,ENSG00000132623,Gene Expression,GRCh38,101,104.0,ANKEF1,101
MIAT,ENSG00000225783,Gene Expression,GRCh38,6,6.0,MIAT,6
SLC9C1,ENSG00000172139,Gene Expression,GRCh38,45,45.0,SLC9C1,45
ADAMTS13,ENSG00000160323,Gene Expression,GRCh38,42,43.0,ADAMTS13,42
RAB7B,ENSG00000276600,Gene Expression,GRCh38,114,119.0,RAB7B,114
SNORC,ENSG00000182600,Gene Expression,GRCh38,26,26.0,SNORC,26
GOT1,ENSG00000120053,Gene Expression,GRCh38,538,609.0,GOT1,538
GTF2H3,ENSG00000111358,Gene Expression,GRCh38,981,1179.0,GTF2H3,981
AC011997.1,ENSG00000222017,Gene Expression,GRCh38,8,9.0,AC011997.1,8
LINC00664,ENSG00000268658,Gene Expression,GRCh38,12,13.0,LINC00664,12
USP27X,ENSG00000273820,Gene Expression,GRCh38,485,579.0,USP27X,485
BAX,ENSG00000087088,Gene Expression,GRCh38,2712,4695.0,BAX,2712
ZIM3,ENSG00000141946,Gene Expression,GRCh38,3,3.0,ZIM3,3
AC245060.5,ENSG00000274422,Gene Expression,GRCh38,306,349.0,AC245060.5,306
TLE4,ENSG00000106829,Gene Expression,GRCh38,1559,2245.0,TLE4,1559
AC024267.6,ENSG00000266642,Gene Expression,GRCh38,4,4.0,AC024267.6,4
FAAP24,ENSG00000131944,Gene Expression,GRCh38,301,327.0,FAAP24,301
CRELD1,ENSG00000163703,Gene Expression,GRCh38,751,850.0,CRELD1,751
AC123595.1,ENSG00000234292,Gene Expression,GRCh38,6,6.0,AC123595.1,6
TANGO6,ENSG00000103047,Gene Expression,GRCh38,160,165.0,TANGO6,160
MFSD2A,ENSG00000168389,Gene Expression,GRCh38,1813,3777.0,MFSD2A,1813
AL021807.1,ENSG00000272468,Gene Expression,GRCh38,240,293.0,AL021807.1,240
LINC01198,ENSG00000231817,Gene Expression,GRCh38,6,6.0,LINC01198,6
LINC01836,ENSG00000267530,Gene Expression,GRCh38,7,7.0,LINC01836,7
NMNAT2,ENSG00000157064,Gene Expression,GRCh38,496,593.0,NMNAT2,496
GPR146,ENSG00000164849,Gene Expression,GRCh38,1437,2393.0,GPR146,1437
RPRD1A,ENSG00000141425,Gene Expression,GRCh38,1016,1191.0,RPRD1A,1016
IYD,ENSG00000009765,Gene Expression,GRCh38,4,4.0,IYD,4
HOXA-AS3,ENSG00000254369,Gene Expression,GRCh38,4,4.0,HOXA-AS3,4
FBXW9,ENSG00000132004,Gene Expression,GRCh38,239,247.0,FBXW9,239
ZMIZ1,ENSG00000108175,Gene Expression,GRCh38,377,423.0,ZMIZ1,377
MYRFL,ENSG00000166268,Gene Expression,GRCh38,11,13.0,MYRFL,11
NELFA,ENSG00000185049,Gene Expression,GRCh38,1122,1350.0,NELFA,1122
EXTL3-AS1,ENSG00000246339,Gene Expression,GRCh38,29,30.0,EXTL3-AS1,29
PYROXD1,ENSG00000121350,Gene Expression,GRCh38,831,910.0,PYROXD1,831
CLCN4,ENSG00000073464,Gene Expression,GRCh38,8,8.0,CLCN4,8
AC026801.2,ENSG00000272323,Gene Expression,GRCh38,16,16.0,AC026801.2,16
BANP,ENSG00000172530,Gene Expression,GRCh38,1058,1259.0,BANP,1058
CHST11,ENSG00000171310,Gene Expression,GRCh38,819,1377.0,CHST11,819
FGF20,ENSG00000078579,Gene Expression,GRCh38,9,11.0,FGF20,9
SLC37A2,ENSG00000134955,Gene Expression,GRCh38,24,24.0,SLC37A2,24
SF3B5,ENSG00000169976,Gene Expression,GRCh38,2909,5028.0,SF3B5,2909
LBP,ENSG00000129988,Gene Expression,GRCh38,32,34.0,LBP,32
POTEG,ENSG00000187537,Gene Expression,GRCh38,9,9.0,POTEG,9
UBA1,ENSG00000130985,Gene Expression,GRCh38,2781,4290.0,UBA1,2781
AC131011.1,ENSG00000233785,Gene Expression,GRCh38,39,40.0,AC131011.1,39
ALG1,ENSG00000033011,Gene Expression,GRCh38,567,650.0,ALG1,567
AC109597.2,ENSG00000261158,Gene Expression,GRCh38,14,14.0,AC109597.2,14
NXF1,ENSG00000162231,Gene Expression,GRCh38,1401,1775.0,NXF1,1401
AC126773.4,ENSG00000275383,Gene Expression,GRCh38,7,7.0,AC126773.4,7
RGS19,ENSG00000171700,Gene Expression,GRCh38,108,115.0,RGS19,108
CCNE1,ENSG00000105173,Gene Expression,GRCh38,5992,29036.0,CCNE1,5992
AC011479.1,ENSG00000267748,Gene Expression,GRCh38,10,10.0,AC011479.1,10
TSPO,ENSG00000100300,Gene Expression,GRCh38,3592,12351.0,TSPO,3592
ZNF274,ENSG00000171606,Gene Expression,GRCh38,319,349.0,ZNF274,319
LMBRD1,ENSG00000168216,Gene Expression,GRCh38,2006,2896.0,LMBRD1,2006
ASAP2,ENSG00000151693,Gene Expression,GRCh38,142,159.0,ASAP2,142
GIGYF2,ENSG00000204120,Gene Expression,GRCh38,1597,2003.0,GIGYF2,1597
GPBP1,ENSG00000062194,Gene Expression,GRCh38,2789,4314.0,GPBP1,2789
RNF25,ENSG00000163481,Gene Expression,GRCh38,355,382.0,RNF25,355
PLA2G16,ENSG00000176485,Gene Expression,GRCh38,3088,7348.0,PLA2G16,3088
MGP,ENSG00000111341,Gene Expression,GRCh38,13,13.0,MGP,13
EXOC6,ENSG00000138190,Gene Expression,GRCh38,374,400.0,EXOC6,374
PSMC6,ENSG00000100519,Gene Expression,GRCh38,1740,2233.0,PSMC6,1740
AC009065.8,ENSG00000261663,Gene Expression,GRCh38,9,9.0,AC009065.8,9
AC114928.1,ENSG00000249349,Gene Expression,GRCh38,4,5.0,AC114928.1,4
AC022211.2,ENSG00000263843,Gene Expression,GRCh38,32,32.0,AC022211.2,32
NACC1,ENSG00000160877,Gene Expression,GRCh38,902,1020.0,NACC1,902
NEUROD2,ENSG00000171532,Gene Expression,GRCh38,7,7.0,NEUROD2,7
AL603756.1,ENSG00000271933,Gene Expression,GRCh38,50,121.0,AL603756.1,50
AC008937.3,ENSG00000271828,Gene Expression,GRCh38,15,16.0,AC008937.3,15
AC005899.8,ENSG00000279762,Gene Expression,GRCh38,19,22.0,AC005899.8,19
MEIOB,ENSG00000162039,Gene Expression,GRCh38,35,37.0,MEIOB,35
CCDC151,ENSG00000198003,Gene Expression,GRCh38,147,171.0,CCDC151,147
OGA,ENSG00000198408,Gene Expression,GRCh38,2541,3669.0,OGA,2541
HSPBAP1,ENSG00000169087,Gene Expression,GRCh38,664,761.0,HSPBAP1,664
WDR89,ENSG00000140006,Gene Expression,GRCh38,503,563.0,WDR89,503
SLC6A17,ENSG00000197106,Gene Expression,GRCh38,133,142.0,SLC6A17,133
OSGEPL1,ENSG00000128694,Gene Expression,GRCh38,261,276.0,OSGEPL1,261
ZNF260,ENSG00000254004,Gene Expression,GRCh38,378,400.0,ZNF260,378
PDHA1,ENSG00000131828,Gene Expression,GRCh38,1824,2455.0,PDHA1,1824
KMT5B,ENSG00000110066,Gene Expression,GRCh38,1527,1954.0,KMT5B,1527
SLC27A6,ENSG00000113396,Gene Expression,GRCh38,454,496.0,SLC27A6,454
AL365361.1,ENSG00000259834,Gene Expression,GRCh38,9,12.0,AL365361.1,9
MAGEA4-AS1,ENSG00000229967,Gene Expression,GRCh38,75,81.0,MAGEA4-AS1,75
MORF4L2,ENSG00000123562,Gene Expression,GRCh38,7309,36061.0,MORF4L2,7309
SIGLEC10,ENSG00000142512,Gene Expression,GRCh38,5,5.0,SIGLEC10,5
DKC1,ENSG00000130826,Gene Expression,GRCh38,1126,1416.0,DKC1,1126
KAT8,ENSG00000103510,Gene Expression,GRCh38,662,735.0,KAT8,662
RPS15,ENSG00000115268,Gene Expression,GRCh38,8876,112695.0,RPS15,8876
IRF2,ENSG00000168310,Gene Expression,GRCh38,813,957.0,IRF2,813
TRAF2,ENSG00000127191,Gene Expression,GRCh38,538,572.0,TRAF2,538
C12orf77,ENSG00000226397,Gene Expression,GRCh38,4,4.0,C12orf77,4
RASAL2-AS1,ENSG00000224687,Gene Expression,GRCh38,188,211.0,RASAL2-AS1,188
CRTC2,ENSG00000160741,Gene Expression,GRCh38,772,864.0,CRTC2,772
LINC01816,ENSG00000231327,Gene Expression,GRCh38,40,40.0,LINC01816,40
ADAMTS7,ENSG00000136378,Gene Expression,GRCh38,11,11.0,ADAMTS7,11
SELENOT,ENSG00000198843,Gene Expression,GRCh38,2402,3938.0,SELENOT,2402
SCO1,ENSG00000133028,Gene Expression,GRCh38,1580,2149.0,SCO1,1580
MRPS31,ENSG00000102738,Gene Expression,GRCh38,1750,2351.0,MRPS31,1750
AJ003147.2,ENSG00000262668,Gene Expression,GRCh38,8,8.0,AJ003147.2,8
YWHAH,ENSG00000128245,Gene Expression,GRCh38,2521,4410.0,YWHAH,2521
IGFBP4,ENSG00000141753,Gene Expression,GRCh38,12,13.0,IGFBP4,12
SMURF2,ENSG00000108854,Gene Expression,GRCh38,560,626.0,SMURF2,560
TMEM147,ENSG00000105677,Gene Expression,GRCh38,2786,5114.0,TMEM147,2786
SHANK2-AS1,ENSG00000226627,Gene Expression,GRCh38,137,159.0,SHANK2-AS1,137
NWD1,ENSG00000188039,Gene Expression,GRCh38,13,13.0,NWD1,13
PTGES3,ENSG00000110958,Gene Expression,GRCh38,4572,10545.0,PTGES3,4572
AL355376.1,ENSG00000236716,Gene Expression,GRCh38,3,3.0,AL355376.1,3
KCNK12,ENSG00000184261,Gene Expression,GRCh38,73,84.0,KCNK12,73
PLEKHG6,ENSG00000008323,Gene Expression,GRCh38,1159,1331.0,PLEKHG6,1159
MED12L,ENSG00000144893,Gene Expression,GRCh38,224,261.0,MED12L,224
BBOX1,ENSG00000129151,Gene Expression,GRCh38,3,4.0,BBOX1,3
MICU2,ENSG00000165487,Gene Expression,GRCh38,841,944.0,MICU2,841
RASL11B,ENSG00000128045,Gene Expression,GRCh38,1246,1701.0,RASL11B,1246
COPS5,ENSG00000121022,Gene Expression,GRCh38,1579,2035.0,COPS5,1579
PPP1R21,ENSG00000162869,Gene Expression,GRCh38,907,1025.0,PPP1R21,907
SUPT16H,ENSG00000092201,Gene Expression,GRCh38,2126,2944.0,SUPT16H,2126
COA4,ENSG00000181924,Gene Expression,GRCh38,2055,3096.0,COA4,2055
PHACTR4,ENSG00000204138,Gene Expression,GRCh38,2090,3120.0,PHACTR4,2090
TNRC6A,ENSG00000090905,Gene Expression,GRCh38,1698,2185.0,TNRC6A,1698
MRC2,ENSG00000011028,Gene Expression,GRCh38,140,230.0,MRC2,140
RRM1-AS1,ENSG00000255276,Gene Expression,GRCh38,3,3.0,RRM1-AS1,3
PCDHGB7,ENSG00000254122,Gene Expression,GRCh38,6,6.0,PCDHGB7,6
FAM120B,ENSG00000112584,Gene Expression,GRCh38,801,890.0,FAM120B,801
AC102953.2,ENSG00000273230,Gene Expression,GRCh38,57,57.0,AC102953.2,57
PIP,ENSG00000159763,Gene Expression,GRCh38,6,7.0,PIP,6
INCENP,ENSG00000149503,Gene Expression,GRCh38,189,201.0,INCENP,189
FLCN,ENSG00000154803,Gene Expression,GRCh38,865,987.0,FLCN,865
NALCN-AS1,ENSG00000233009,Gene Expression,GRCh38,5,5.0,NALCN-AS1,5
HEG1,ENSG00000173706,Gene Expression,GRCh38,3325,10434.0,HEG1,3325
RITA1,ENSG00000139405,Gene Expression,GRCh38,356,377.0,RITA1,356
AC010680.5,ENSG00000271401,Gene Expression,GRCh38,4,4.0,AC010680.5,4
OSTC,ENSG00000198856,Gene Expression,GRCh38,4358,13309.0,OSTC,4358
C11orf53,ENSG00000150750,Gene Expression,GRCh38,4,4.0,C11orf53,4
CDC42BPB,ENSG00000198752,Gene Expression,GRCh38,1787,2366.0,CDC42BPB,1787
XPC,ENSG00000154767,Gene Expression,GRCh38,1176,1495.0,XPC,1176
TMEM140,ENSG00000146859,Gene Expression,GRCh38,471,598.0,TMEM140,471
GORASP1,ENSG00000114745,Gene Expression,GRCh38,686,773.0,GORASP1,686
AC006547.3,ENSG00000268292,Gene Expression,GRCh38,75,77.0,AC006547.3,75
AC021097.1,ENSG00000272661,Gene Expression,GRCh38,24,27.0,AC021097.1,24
GCC2-AS1,ENSG00000214184,Gene Expression,GRCh38,12,12.0,GCC2-AS1,12
SWAP70,ENSG00000133789,Gene Expression,GRCh38,3127,5463.0,SWAP70,3127
HBP1,ENSG00000105856,Gene Expression,GRCh38,1447,1754.0,HBP1,1447
SLCO3A1,ENSG00000176463,Gene Expression,GRCh38,6,6.0,SLCO3A1,6
LAX1,ENSG00000122188,Gene Expression,GRCh38,7,8.0,LAX1,7
LCE2B,ENSG00000159455,Gene Expression,GRCh38,20,35.0,LCE2B,20
RTN2,ENSG00000125744,Gene Expression,GRCh38,1708,2393.0,RTN2,1708
SUB1,ENSG00000113387,Gene Expression,GRCh38,5115,14377.0,SUB1,5115
ELL2,ENSG00000118985,Gene Expression,GRCh38,1664,2188.0,ELL2,1664
AC106786.2,ENSG00000249996,Gene Expression,GRCh38,9,9.0,AC106786.2,9
YWHAB,ENSG00000166913,Gene Expression,GRCh38,5909,21375.0,YWHAB,5909
TRPM2-AS,ENSG00000230061,Gene Expression,GRCh38,31,34.0,TRPM2-AS,31
MRTO4,ENSG00000053372,Gene Expression,GRCh38,1112,1326.0,MRTO4,1112
AHNAK,ENSG00000124942,Gene Expression,GRCh38,5993,31846.0,AHNAK,5993
ANKRD52,ENSG00000139645,Gene Expression,GRCh38,604,670.0,ANKRD52,604
RAB24,ENSG00000169228,Gene Expression,GRCh38,460,498.0,RAB24,460
METTL2A,ENSG00000087995,Gene Expression,GRCh38,410,448.0,METTL2A,410
PDGFRL,ENSG00000104213,Gene Expression,GRCh38,1093,1533.0,PDGFRL,1093
RWDD3,ENSG00000122481,Gene Expression,GRCh38,90,91.0,RWDD3,90
GCC2,ENSG00000135968,Gene Expression,GRCh38,2723,4010.0,GCC2,2723
DENND6A-AS1,ENSG00000239801,Gene Expression,GRCh38,11,11.0,DENND6A-AS1,11
LINC01591,ENSG00000254083,Gene Expression,GRCh38,4,4.0,LINC01591,4
TAC4,ENSG00000176358,Gene Expression,GRCh38,5,5.0,TAC4,5
TCTEX1D4,ENSG00000188396,Gene Expression,GRCh38,28,28.0,TCTEX1D4,28
SDHAF2,ENSG00000167985,Gene Expression,GRCh38,1079,1344.0,SDHAF2,1079
SVIL,ENSG00000197321,Gene Expression,GRCh38,2376,3915.0,SVIL,2376
SULT1A2,ENSG00000197165,Gene Expression,GRCh38,261,590.0,SULT1A2,261
AC114485.1,ENSG00000233359,Gene Expression,GRCh38,8,8.0,AC114485.1,8
SCN5A,ENSG00000183873,Gene Expression,GRCh38,13,13.0,SCN5A,13
MAGIX,ENSG00000269313,Gene Expression,GRCh38,154,169.0,MAGIX,154
ENO1,ENSG00000074800,Gene Expression,GRCh38,6659,27570.0,ENO1,6659
VPS4B,ENSG00000119541,Gene Expression,GRCh38,3112,4914.0,VPS4B,3112
AC092053.2,ENSG00000283849,Gene Expression,GRCh38,34,36.0,AC092053.2,34
GHET1,ENSG00000281189,Gene Expression,GRCh38,23,26.0,GHET1,23
MED14OS,ENSG00000234636,Gene Expression,GRCh38,8,8.0,MED14OS,8
ATRX,ENSG00000085224,Gene Expression,GRCh38,2651,4195.0,ATRX,2651
NEIL2,ENSG00000154328,Gene Expression,GRCh38,302,319.0,NEIL2,302
DDX24,ENSG00000089737,Gene Expression,GRCh38,3922,7780.0,DDX24,3922
AC092143.2,ENSG00000259006,Gene Expression,GRCh38,3,3.0,AC092143.2,3
AC106897.1,ENSG00000249679,Gene Expression,GRCh38,26,26.0,AC106897.1,26
LANCL2,ENSG00000132434,Gene Expression,GRCh38,234,245.0,LANCL2,234
CDK5R1,ENSG00000176749,Gene Expression,GRCh38,44,48.0,CDK5R1,44
DDX18,ENSG00000088205,Gene Expression,GRCh38,3890,7215.0,DDX18,3890
MIR762HG,ENSG00000260083,Gene Expression,GRCh38,77,83.0,MIR762HG,77
ZDHHC3,ENSG00000163812,Gene Expression,GRCh38,1380,1770.0,ZDHHC3,1380
DCAF8,ENSG00000132716,Gene Expression,GRCh38,1027,1176.0,DCAF8,1027
FUCA2,ENSG00000001036,Gene Expression,GRCh38,3038,6366.0,FUCA2,3038
CBWD2,ENSG00000136682,Gene Expression,GRCh38,286,306.0,CBWD2,286
TMEM107,ENSG00000179029,Gene Expression,GRCh38,1232,1867.0,TMEM107,1232
AC011921.1,ENSG00000259349,Gene Expression,GRCh38,11,11.0,AC011921.1,11
TNFRSF13C,ENSG00000159958,Gene Expression,GRCh38,7,7.0,TNFRSF13C,7
AP003419.2,ENSG00000274251,Gene Expression,GRCh38,5,5.0,AP003419.2,5
USP25,ENSG00000155313,Gene Expression,GRCh38,909,1058.0,USP25,909
ZHX1-C8orf76,ENSG00000259305,Gene Expression,GRCh38,77,77.0,ZHX1-C8orf76,77
PRKD3,ENSG00000115825,Gene Expression,GRCh38,2525,4153.0,PRKD3,2525
AC108174.1,ENSG00000248112,Gene Expression,GRCh38,445,703.0,AC108174.1,445
TAB3-AS2,ENSG00000235512,Gene Expression,GRCh38,8,8.0,TAB3-AS2,8
NXPH4,ENSG00000182379,Gene Expression,GRCh38,41,41.0,NXPH4,41
AC027796.4,ENSG00000262903,Gene Expression,GRCh38,5,5.0,AC027796.4,5
HIST1H4F,ENSG00000274618,Gene Expression,GRCh38,5,5.0,HIST1H4F,5
PDE4A,ENSG00000065989,Gene Expression,GRCh38,303,344.0,PDE4A,303
ARHGAP21,ENSG00000107863,Gene Expression,GRCh38,2724,4256.0,ARHGAP21,2724
LPO,ENSG00000167419,Gene Expression,GRCh38,9,9.0,LPO,9
NCMAP,ENSG00000184454,Gene Expression,GRCh38,94,97.0,NCMAP,94
LINC01376,ENSG00000236204,Gene Expression,GRCh38,22,22.0,LINC01376,22
AC068870.2,ENSG00000277782,Gene Expression,GRCh38,6,6.0,AC068870.2,6
AL031733.2,ENSG00000241666,Gene Expression,GRCh38,5,5.0,AL031733.2,5
AP003392.3,ENSG00000255114,Gene Expression,GRCh38,37,37.0,AP003392.3,37
RBBP8NL,ENSG00000130701,Gene Expression,GRCh38,182,187.0,RBBP8NL,182
PLPP6,ENSG00000205808,Gene Expression,GRCh38,254,277.0,PLPP6,254
LMO4,ENSG00000143013,Gene Expression,GRCh38,5347,19372.0,LMO4,5347
ATP13A2,ENSG00000159363,Gene Expression,GRCh38,2567,4708.0,ATP13A2,2567
AMT,ENSG00000145020,Gene Expression,GRCh38,45,46.0,AMT,45
ZXDC,ENSG00000070476,Gene Expression,GRCh38,206,213.0,ZXDC,206
OAZ2,ENSG00000180304,Gene Expression,GRCh38,1015,1169.0,OAZ2,1015
PICK1,ENSG00000100151,Gene Expression,GRCh38,667,747.0,PICK1,667
C1orf220,ENSG00000213057,Gene Expression,GRCh38,8,8.0,C1orf220,8
AL022323.3,ENSG00000279085,Gene Expression,GRCh38,10,10.0,AL022323.3,10
S100P,ENSG00000163993,Gene Expression,GRCh38,9281,104710.0,S100P,9281
ZNF853,ENSG00000236609,Gene Expression,GRCh38,4,5.0,ZNF853,4
PROX1,ENSG00000117707,Gene Expression,GRCh38,4,4.0,PROX1,4
AP000894.4,ENSG00000273355,Gene Expression,GRCh38,39,41.0,AP000894.4,39
LINC02321,ENSG00000258884,Gene Expression,GRCh38,3,3.0,LINC02321,3
C17orf99,ENSG00000187997,Gene Expression,GRCh38,5,5.0,C17orf99,5
RRAGB,ENSG00000083750,Gene Expression,GRCh38,247,265.0,RRAGB,247
OR2B6,ENSG00000124657,Gene Expression,GRCh38,11,12.0,OR2B6,11
SNAP47,ENSG00000143740,Gene Expression,GRCh38,400,426.0,SNAP47,400
QDPR,ENSG00000151552,Gene Expression,GRCh38,269,301.0,QDPR,269
PTH1R,ENSG00000160801,Gene Expression,GRCh38,1406,2752.0,PTH1R,1406
PCDHGA5,ENSG00000253485,Gene Expression,GRCh38,12,13.0,PCDHGA5,12
ZNF213-AS1,ENSG00000263072,Gene Expression,GRCh38,179,187.0,ZNF213-AS1,179
LDLRAD4,ENSG00000168675,Gene Expression,GRCh38,3,3.0,LDLRAD4,3
RUVBL2,ENSG00000183207,Gene Expression,GRCh38,1220,1548.0,RUVBL2,1220
JOSD2,ENSG00000161677,Gene Expression,GRCh38,2251,3660.0,JOSD2,2251
TMEM269,ENSG00000274386,Gene Expression,GRCh38,6,6.0,TMEM269,6
CD96,ENSG00000153283,Gene Expression,GRCh38,24,25.0,CD96,24
LRTM1,ENSG00000144771,Gene Expression,GRCh38,54,56.0,LRTM1,54
GPX8,ENSG00000164294,Gene Expression,GRCh38,2625,4608.0,GPX8,2625
AC097634.2,ENSG00000274387,Gene Expression,GRCh38,4,4.0,AC097634.2,4
ASNS,ENSG00000070669,Gene Expression,GRCh38,814,1243.0,ASNS,814
INE2,ENSG00000281371,Gene Expression,GRCh38,6,6.0,INE2,6
FAM120AOS,ENSG00000188938,Gene Expression,GRCh38,2219,3641.0,FAM120AOS,2219
PAPPA,ENSG00000182752,Gene Expression,GRCh38,5508,31439.0,PAPPA,5508
ZC4H2,ENSG00000126970,Gene Expression,GRCh38,3,3.0,ZC4H2,3
MAP3K8,ENSG00000107968,Gene Expression,GRCh38,1706,2343.0,MAP3K8,1706
EEF1AKMT1,ENSG00000150456,Gene Expression,GRCh38,285,311.0,EEF1AKMT1,285
AC120498.9,ENSG00000274751,Gene Expression,GRCh38,8,8.0,AC120498.9,8
AC010536.3,ENSG00000277504,Gene Expression,GRCh38,3,3.0,AC010536.3,3
CCDC57,ENSG00000176155,Gene Expression,GRCh38,1277,1691.0,CCDC57,1277
ZNF256,ENSG00000152454,Gene Expression,GRCh38,24,24.0,ZNF256,24
FARSA,ENSG00000179115,Gene Expression,GRCh38,1244,1512.0,FARSA,1244
RPL21,ENSG00000122026,Gene Expression,GRCh38,8640,79215.0,RPL21,8640
HMGN3,ENSG00000118418,Gene Expression,GRCh38,5735,23514.0,HMGN3,5735
ANKRD6,ENSG00000135299,Gene Expression,GRCh38,436,478.0,ANKRD6,436
C10orf95,ENSG00000120055,Gene Expression,GRCh38,95,117.0,C10orf95,95
AC110048.2,ENSG00000277152,Gene Expression,GRCh38,3,3.0,AC110048.2,3
NOX5,ENSG00000255346,Gene Expression,GRCh38,7,7.0,NOX5,7
DPCD,ENSG00000166171,Gene Expression,GRCh38,409,447.0,DPCD,409
RIT2,ENSG00000152214,Gene Expression,GRCh38,27,37.0,RIT2,27
AC020917.3,ENSG00000277825,Gene Expression,GRCh38,11,11.0,AC020917.3,11
SMYD4,ENSG00000186532,Gene Expression,GRCh38,424,460.0,SMYD4,424
AC007308.1,ENSG00000272600,Gene Expression,GRCh38,3,3.0,AC007308.1,3
TBC1D32,ENSG00000146350,Gene Expression,GRCh38,491,534.0,TBC1D32,491
TERF1,ENSG00000147601,Gene Expression,GRCh38,1131,1378.0,TERF1,1131
TMPRSS3,ENSG00000160183,Gene Expression,GRCh38,4,4.0,TMPRSS3,4
CBS,ENSG00000160200,Gene Expression,GRCh38,12,12.0,CBS,12
ATG4A,ENSG00000101844,Gene Expression,GRCh38,357,390.0,ATG4A,357
PTGDS,ENSG00000107317,Gene Expression,GRCh38,894,1229.0,PTGDS,894
ZNF518A,ENSG00000177853,Gene Expression,GRCh38,1681,2244.0,ZNF518A,1681
SCG3,ENSG00000104112,Gene Expression,GRCh38,13,13.0,SCG3,13
ADPRH,ENSG00000144843,Gene Expression,GRCh38,155,159.0,ADPRH,155
SPATA18,ENSG00000163071,Gene Expression,GRCh38,111,114.0,SPATA18,111
SPARCL1,ENSG00000152583,Gene Expression,GRCh38,9,10.0,SPARCL1,9
OR2C3,ENSG00000196242,Gene Expression,GRCh38,36,37.0,OR2C3,36
FRMPD3,ENSG00000147234,Gene Expression,GRCh38,12,13.0,FRMPD3,12
IFT74,ENSG00000096872,Gene Expression,GRCh38,523,576.0,IFT74,523
FAM120A,ENSG00000048828,Gene Expression,GRCh38,4471,10619.0,FAM120A,4471
SPRR3,ENSG00000163209,Gene Expression,GRCh38,142,261.0,SPRR3,142
EEA1,ENSG00000102189,Gene Expression,GRCh38,2671,4603.0,EEA1,2671
C2orf15,ENSG00000273045,Gene Expression,GRCh38,39,39.0,C2orf15,39
PLEKHM3,ENSG00000178385,Gene Expression,GRCh38,511,571.0,PLEKHM3,511
SERINC5,ENSG00000164300,Gene Expression,GRCh38,1736,2357.0,SERINC5,1736
AC135050.3,ENSG00000260911,Gene Expression,GRCh38,29,31.0,AC135050.3,29
ANKRD12,ENSG00000101745,Gene Expression,GRCh38,3233,5624.0,ANKRD12,3233
POLR2F,ENSG00000100142,Gene Expression,GRCh38,3832,9058.0,POLR2F,3832
MEF2D,ENSG00000116604,Gene Expression,GRCh38,724,797.0,MEF2D,724
AL358937.1,ENSG00000254571,Gene Expression,GRCh38,3,3.0,AL358937.1,3
RSBN1,ENSG00000081019,Gene Expression,GRCh38,953,1098.0,RSBN1,953
